epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.999,1.52754,2.03821,1.33941,0.7354,0.72041,0.75327,0.39033,1.56767,1.66932,1.39764,0.00332947,0.00332947,0.00332947
2,500.413,1.4898,1.36018,1.27419,0.73282,0.68021,0.7205,0.34994,1.70432,1.4637,1.46038,0.00653088,0.00653088,0.00653088
3,746.219,1.52442,1.25339,1.29185,0.75222,0.62112,0.69254,0.35207,1.68971,1.44086,1.47075,0.00960029,0.00960029,0.00960029
4,988.044,1.53145,1.20614,1.30404,0.79299,0.70902,0.76453,0.40424,1.63151,1.20411,1.40318,0.009406,0.009406,0.009406
5,1233.87,1.50869,1.13187,1.29481,0.83266,0.76779,0.82262,0.4411,1.58096,1.07675,1.38094,0.009208,0.009208,0.009208
6,1479.43,1.47895,1.06439,1.2807,0.83996,0.77799,0.8446,0.47372,1.52082,0.97362,1.33607,0.00901,0.00901,0.00901
7,1721.95,1.45984,1.02168,1.26761,0.82452,0.79108,0.83253,0.46833,1.50983,0.97414,1.33987,0.008812,0.008812,0.008812
8,1962.46,1.44688,0.99878,1.26078,0.84166,0.80436,0.85654,0.48434,1.52842,0.90451,1.33531,0.008614,0.008614,0.008614
9,2203.75,1.4293,0.96441,1.25139,0.83159,0.81301,0.85034,0.48431,1.53194,0.94465,1.33947,0.008416,0.008416,0.008416
10,2445.07,1.41265,0.9405,1.24096,0.86472,0.833,0.88099,0.51048,1.4619,0.85208,1.29719,0.008218,0.008218,0.008218
11,2687.1,1.40704,0.92906,1.236,0.86081,0.82677,0.87889,0.51075,1.46566,0.84383,1.31503,0.00802,0.00802,0.00802
12,2931.3,1.40384,0.91393,1.23532,0.86896,0.82741,0.88002,0.51714,1.46956,0.81918,1.30381,0.007822,0.007822,0.007822
13,3186.35,1.39974,0.90451,1.22896,0.86869,0.8316,0.889,0.52264,1.45052,0.81355,1.27674,0.007624,0.007624,0.007624
14,3433.74,1.38398,0.8892,1.2174,0.87565,0.84008,0.89025,0.52455,1.46627,0.80253,1.29294,0.007426,0.007426,0.007426
15,3675.7,1.37775,0.87366,1.21875,0.86615,0.84359,0.88555,0.52705,1.44564,0.77557,1.28406,0.007228,0.007228,0.007228
16,3921.22,1.36702,0.86102,1.21162,0.8527,0.84406,0.88743,0.53661,1.43,0.76757,1.26098,0.00703,0.00703,0.00703
17,4165.97,1.37364,0.85502,1.21402,0.85394,0.8471,0.88992,0.53566,1.42632,0.76802,1.26794,0.006832,0.006832,0.006832
18,4410.14,1.35279,0.84335,1.20275,0.86712,0.85288,0.89904,0.5433,1.42393,0.74368,1.25892,0.006634,0.006634,0.006634
19,4657.78,1.35625,0.83069,1.20347,0.87499,0.86224,0.9081,0.55056,1.41207,0.72433,1.24841,0.006436,0.006436,0.006436
20,4926.21,1.34911,0.82573,1.20019,0.87854,0.86423,0.90887,0.55411,1.40585,0.71957,1.2501,0.006238,0.006238,0.006238
21,5170.57,1.34306,0.81495,1.19413,0.8785,0.86738,0.90965,0.55676,1.40827,0.72195,1.25282,0.00604,0.00604,0.00604
22,5413.62,1.33576,0.80994,1.1917,0.87328,0.87043,0.91293,0.56062,1.39413,0.71005,1.23791,0.005842,0.005842,0.005842
23,5656.46,1.33226,0.80471,1.18909,0.8691,0.86678,0.91018,0.56014,1.39546,0.71481,1.24405,0.005644,0.005644,0.005644
24,5898.9,1.32571,0.80027,1.1868,0.87795,0.86921,0.91044,0.56017,1.39087,0.70938,1.24294,0.005446,0.005446,0.005446
25,6141.29,1.32526,0.78739,1.1845,0.8891,0.86684,0.91662,0.56764,1.38413,0.67763,1.23027,0.005248,0.005248,0.005248
26,6383.76,1.32254,0.77416,1.18288,0.87752,0.87834,0.91786,0.56832,1.39014,0.67837,1.23566,0.00505,0.00505,0.00505
27,6627.01,1.32079,0.77323,1.17907,0.88118,0.86903,0.9136,0.56641,1.38171,0.68253,1.22813,0.004852,0.004852,0.004852
28,6869.49,1.30989,0.76656,1.17186,0.89095,0.87845,0.9224,0.57006,1.38229,0.65843,1.228,0.004654,0.004654,0.004654
29,7112.17,1.30024,0.75485,1.16828,0.89542,0.87648,0.92064,0.57544,1.37305,0.66138,1.21791,0.004456,0.004456,0.004456
30,7354.86,1.30863,0.75741,1.17348,0.89595,0.87722,0.92223,0.57861,1.37008,0.65523,1.21947,0.004258,0.004258,0.004258
31,7597.73,1.29735,0.74661,1.16113,0.89093,0.8816,0.92363,0.57832,1.37131,0.64958,1.21438,0.00406,0.00406,0.00406
